condition,series,probe_probability,seed,detection_latency,recovery_latency,recovery_latency_censored,recovery_failed,off_threshold,on_threshold,false_active_fraction,false_passive_fraction
post_initial_probe_0.05,vigor,0.05,751019,103.0,64.0,64.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751020,39.0,31.0,31.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751021,87.0,152.0,152.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751022,74.0,37.0,37.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751023,77.0,69.0,69.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751024,62.0,31.0,31.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751025,33.0,54.0,54.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751026,85.0,58.0,58.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751027,70.0,63.0,63.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751028,41.0,54.0,54.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751029,81.0,69.0,69.0,0,0.25,0.75,,
